"","CoB","ETH.group","age","sex","year","pop"
"79","Non-UK born","Bangladeshi",39,"F",2011,2556
"80","Non-UK born","Bangladeshi",39,"M",2011,3236
"81","Non-UK born","Bangladeshi",40,"F",2011,2263
"82","Non-UK born","Bangladeshi",40,"M",2011,3343
"83","Non-UK born","Bangladeshi",41,"F",2011,2011
"84","Non-UK born","Bangladeshi",41,"M",2011,3117
"85","Non-UK born","Bangladeshi",42,"F",2011,1842
"86","Non-UK born","Bangladeshi",42,"M",2011,2769
"87","Non-UK born","Bangladeshi",43,"F",2011,1730
"88","Non-UK born","Bangladeshi",43,"M",2011,2555
"89","Non-UK born","Bangladeshi",44,"F",2011,1543
"90","Non-UK born","Bangladeshi",44,"M",2011,2199
"91","Non-UK born","Bangladeshi",45,"F",2011,1405
"92","Non-UK born","Bangladeshi",45,"M",2011,1821
"93","Non-UK born","Bangladeshi",46,"F",2011,1259
"94","Non-UK born","Bangladeshi",46,"M",2011,1602
"95","Non-UK born","Bangladeshi",47,"F",2011,1283
"96","Non-UK born","Bangladeshi",47,"M",2011,1842
"97","Non-UK born","Bangladeshi",48,"F",2011,1182
"98","Non-UK born","Bangladeshi",48,"M",2011,1759
"99","Non-UK born","Bangladeshi",49,"F",2011,1039
"100","Non-UK born","Bangladeshi",49,"M",2011,1733
"101","Non-UK born","Bangladeshi",50,"F",2011,918
"102","Non-UK born","Bangladeshi",50,"M",2011,1523
"103","Non-UK born","Bangladeshi",51,"F",2011,926
"104","Non-UK born","Bangladeshi",51,"M",2011,1584
"105","Non-UK born","Bangladeshi",52,"F",2011,904
"106","Non-UK born","Bangladeshi",52,"M",2011,1562
"107","Non-UK born","Bangladeshi",53,"F",2011,999
"108","Non-UK born","Bangladeshi",53,"M",2011,1443
"109","Non-UK born","Bangladeshi",54,"F",2011,1158
"110","Non-UK born","Bangladeshi",54,"M",2011,1289
"111","Non-UK born","Bangladeshi",55,"F",2011,951
"112","Non-UK born","Bangladeshi",55,"M",2011,1156
"113","Non-UK born","Bangladeshi",56,"F",2011,1098
"114","Non-UK born","Bangladeshi",56,"M",2011,1016
"115","Non-UK born","Bangladeshi",57,"F",2011,1036
"116","Non-UK born","Bangladeshi",57,"M",2011,847
"117","Non-UK born","Bangladeshi",58,"F",2011,1230
"118","Non-UK born","Bangladeshi",58,"M",2011,726
"119","Non-UK born","Bangladeshi",59,"F",2011,1106
"120","Non-UK born","Bangladeshi",59,"M",2011,491
"121","Non-UK born","Bangladeshi",60,"F",2011,1039
"122","Non-UK born","Bangladeshi",60,"M",2011,334
"123","Non-UK born","Bangladeshi",61,"F",2011,884
"124","Non-UK born","Bangladeshi",61,"M",2011,299
"125","Non-UK born","Bangladeshi",62,"F",2011,695
"126","Non-UK born","Bangladeshi",62,"M",2011,243
"127","Non-UK born","Bangladeshi",63,"F",2011,649
"128","Non-UK born","Bangladeshi",63,"M",2011,227
"129","Non-UK born","Bangladeshi",64,"F",2011,574
"130","Non-UK born","Bangladeshi",64,"M",2011,228
"131","Non-UK born","Bangladeshi",65,"F",2011,522
"132","Non-UK born","Bangladeshi",65,"M",2011,253
"133","Non-UK born","Bangladeshi",66,"F",2011,481
"134","Non-UK born","Bangladeshi",66,"M",2011,302
"135","Non-UK born","Bangladeshi",67,"F",2011,524
"136","Non-UK born","Bangladeshi",67,"M",2011,354
"137","Non-UK born","Bangladeshi",68,"F",2011,546
"138","Non-UK born","Bangladeshi",68,"M",2011,480
"139","Non-UK born","Bangladeshi",69,"F",2011,521
"140","Non-UK born","Bangladeshi",69,"M",2011,461
"141","Non-UK born","Bangladeshi",70,"F",2011,642
"142","Non-UK born","Bangladeshi",70,"M",2011,689
"143","Non-UK born","Bangladeshi",71,"F",2011,626
"144","Non-UK born","Bangladeshi",71,"M",2011,677
"145","Non-UK born","Bangladeshi",72,"F",2011,535
"146","Non-UK born","Bangladeshi",72,"M",2011,616
"147","Non-UK born","Bangladeshi",73,"F",2011,436
"148","Non-UK born","Bangladeshi",73,"M",2011,680
"149","Non-UK born","Bangladeshi",74,"F",2011,411
"150","Non-UK born","Bangladeshi",74,"M",2011,701
"151","Non-UK born","Bangladeshi",75,"F",2011,409
"152","Non-UK born","Bangladeshi",75,"M",2011,555
"153","Non-UK born","Bangladeshi",76,"F",2011,344
"154","Non-UK born","Bangladeshi",76,"M",2011,453
"155","Non-UK born","Bangladeshi",77,"F",2011,293
"156","Non-UK born","Bangladeshi",77,"M",2011,346
"157","Non-UK born","Bangladeshi",78,"F",2011,238
"158","Non-UK born","Bangladeshi",78,"M",2011,365
"159","Non-UK born","Bangladeshi",79,"F",2011,162
"160","Non-UK born","Bangladeshi",79,"M",2011,351
"161","Non-UK born","Bangladeshi",80,"F",2011,195
"162","Non-UK born","Bangladeshi",80,"M",2011,298
"163","Non-UK born","Bangladeshi",81,"F",2011,144
"164","Non-UK born","Bangladeshi",81,"M",2011,266
"165","Non-UK born","Bangladeshi",82,"F",2011,100
"166","Non-UK born","Bangladeshi",82,"M",2011,135
"167","Non-UK born","Bangladeshi",83,"F",2011,70
"168","Non-UK born","Bangladeshi",83,"M",2011,153
"169","Non-UK born","Bangladeshi",84,"F",2011,41
"170","Non-UK born","Bangladeshi",84,"M",2011,114
"171","Non-UK born","Bangladeshi",85,"F",2011,242
"172","Non-UK born","Bangladeshi",85,"M",2011,236
"173","Non-UK born","Black-African",0,"F",2011,294
"174","Non-UK born","Black-African",0,"M",2011,285
"175","Non-UK born","Black-African",1,"F",2011,533
"176","Non-UK born","Black-African",1,"M",2011,483
"177","Non-UK born","Black-African",2,"F",2011,736
"178","Non-UK born","Black-African",2,"M",2011,738
"179","Non-UK born","Black-African",3,"F",2011,989
"180","Non-UK born","Black-African",3,"M",2011,999
"181","Non-UK born","Black-African",4,"F",2011,1205
"182","Non-UK born","Black-African",4,"M",2011,1197
"183","Non-UK born","Black-African",5,"F",2011,1612
"184","Non-UK born","Black-African",5,"M",2011,1552
"185","Non-UK born","Black-African",6,"F",2011,1652
"186","Non-UK born","Black-African",6,"M",2011,1747
"187","Non-UK born","Black-African",7,"F",2011,2178
"188","Non-UK born","Black-African",7,"M",2011,2080
"189","Non-UK born","Black-African",8,"F",2011,2460
"190","Non-UK born","Black-African",8,"M",2011,2413
"191","Non-UK born","Black-African",9,"F",2011,2784
"192","Non-UK born","Black-African",9,"M",2011,2988
"193","Non-UK born","Black-African",10,"F",2011,3387
"194","Non-UK born","Black-African",10,"M",2011,3464
"195","Non-UK born","Black-African",11,"F",2011,3754
"196","Non-UK born","Black-African",11,"M",2011,3921
"197","Non-UK born","Black-African",12,"F",2011,3972
"198","Non-UK born","Black-African",12,"M",2011,3822
"199","Non-UK born","Black-African",13,"F",2011,4277
"200","Non-UK born","Black-African",13,"M",2011,4287
"201","Non-UK born","Black-African",14,"F",2011,4282
"202","Non-UK born","Black-African",14,"M",2011,4243
"203","Non-UK born","Black-African",15,"F",2011,4545
"204","Non-UK born","Black-African",15,"M",2011,4603
"205","Non-UK born","Black-African",16,"F",2011,4621
"206","Non-UK born","Black-African",16,"M",2011,4507
"207","Non-UK born","Black-African",17,"F",2011,4869
"208","Non-UK born","Black-African",17,"M",2011,4727
"209","Non-UK born","Black-African",18,"F",2011,5298
"210","Non-UK born","Black-African",18,"M",2011,4979
"211","Non-UK born","Black-African",19,"F",2011,5350
"212","Non-UK born","Black-African",19,"M",2011,5030
"213","Non-UK born","Black-African",20,"F",2011,5720
"214","Non-UK born","Black-African",20,"M",2011,5556
"215","Non-UK born","Black-African",21,"F",2011,6090
"216","Non-UK born","Black-African",21,"M",2011,5751
"217","Non-UK born","Black-African",22,"F",2011,6308
"218","Non-UK born","Black-African",22,"M",2011,5645
"219","Non-UK born","Black-African",23,"F",2011,6747
"220","Non-UK born","Black-African",23,"M",2011,5384
"221","Non-UK born","Black-African",24,"F",2011,7139
"222","Non-UK born","Black-African",24,"M",2011,5713
"223","Non-UK born","Black-African",25,"F",2011,7422
"224","Non-UK born","Black-African",25,"M",2011,6406
"225","Non-UK born","Black-African",26,"F",2011,7628
"226","Non-UK born","Black-African",26,"M",2011,6339
"227","Non-UK born","Black-African",27,"F",2011,8005
"228","Non-UK born","Black-African",27,"M",2011,6814
"229","Non-UK born","Black-African",28,"F",2011,8771
"230","Non-UK born","Black-African",28,"M",2011,7133
"231","Non-UK born","Black-African",29,"F",2011,8474
"232","Non-UK born","Black-African",29,"M",2011,6845
"233","Non-UK born","Black-African",30,"F",2011,9278
"234","Non-UK born","Black-African",30,"M",2011,7941
"235","Non-UK born","Black-African",31,"F",2011,9770
"236","Non-UK born","Black-African",31,"M",2011,8125
"237","Non-UK born","Black-African",32,"F",2011,9739
"238","Non-UK born","Black-African",32,"M",2011,8581
"239","Non-UK born","Black-African",33,"F",2011,9559
"240","Non-UK born","Black-African",33,"M",2011,8232
"241","Non-UK born","Black-African",34,"F",2011,9961
"242","Non-UK born","Black-African",34,"M",2011,8532
"243","Non-UK born","Black-African",35,"F",2011,9817
"244","Non-UK born","Black-African",35,"M",2011,8554
"245","Non-UK born","Black-African",36,"F",2011,9678
"246","Non-UK born","Black-African",36,"M",2011,8590
"247","Non-UK born","Black-African",37,"F",2011,8931
"248","Non-UK born","Black-African",37,"M",2011,7861
"249","Non-UK born","Black-African",38,"F",2011,9103
"250","Non-UK born","Black-African",38,"M",2011,8240
"251","Non-UK born","Black-African",39,"F",2011,7470
"252","Non-UK born","Black-African",39,"M",2011,6957
"253","Non-UK born","Black-African",40,"F",2011,8586
"254","Non-UK born","Black-African",40,"M",2011,8035
"255","Non-UK born","Black-African",41,"F",2011,8288
"256","Non-UK born","Black-African",41,"M",2011,7539
"257","Non-UK born","Black-African",42,"F",2011,8166
"258","Non-UK born","Black-African",42,"M",2011,7442
"259","Non-UK born","Black-African",43,"F",2011,7344
"260","Non-UK born","Black-African",43,"M",2011,6718
"261","Non-UK born","Black-African",44,"F",2011,6962
"262","Non-UK born","Black-African",44,"M",2011,6526
"263","Non-UK born","Black-African",45,"F",2011,6773
"264","Non-UK born","Black-African",45,"M",2011,6465
"265","Non-UK born","Black-African",46,"F",2011,6597
"266","Non-UK born","Black-African",46,"M",2011,6037
"267","Non-UK born","Black-African",47,"F",2011,5776
"268","Non-UK born","Black-African",47,"M",2011,5406
"269","Non-UK born","Black-African",48,"F",2011,5635
"270","Non-UK born","Black-African",48,"M",2011,5323
"271","Non-UK born","Black-African",49,"F",2011,4381
"272","Non-UK born","Black-African",49,"M",2011,4235
"273","Non-UK born","Black-African",50,"F",2011,5232
"274","Non-UK born","Black-African",50,"M",2011,5058
"275","Non-UK born","Black-African",51,"F",2011,4493
"276","Non-UK born","Black-African",51,"M",2011,4463
"277","Non-UK born","Black-African",52,"F",2011,3926
"278","Non-UK born","Black-African",52,"M",2011,3931
"279","Non-UK born","Black-African",53,"F",2011,3321
"280","Non-UK born","Black-African",53,"M",2011,3489
"281","Non-UK born","Black-African",54,"F",2011,3070
"282","Non-UK born","Black-African",54,"M",2011,3151
"283","Non-UK born","Black-African",55,"F",2011,2702
"284","Non-UK born","Black-African",55,"M",2011,2836
"285","Non-UK born","Black-African",56,"F",2011,2671
"286","Non-UK born","Black-African",56,"M",2011,2652
"287","Non-UK born","Black-African",57,"F",2011,2181
"288","Non-UK born","Black-African",57,"M",2011,2081
"289","Non-UK born","Black-African",58,"F",2011,2095
"290","Non-UK born","Black-African",58,"M",2011,1972
"291","Non-UK born","Black-African",59,"F",2011,1527
"292","Non-UK born","Black-African",59,"M",2011,1499
"293","Non-UK born","Black-African",60,"F",2011,1692
"294","Non-UK born","Black-African",60,"M",2011,1601
"295","Non-UK born","Black-African",61,"F",2011,1588
"296","Non-UK born","Black-African",61,"M",2011,1433
"297","Non-UK born","Black-African",62,"F",2011,1530
"298","Non-UK born","Black-African",62,"M",2011,1284
"299","Non-UK born","Black-African",63,"F",2011,1260
"300","Non-UK born","Black-African",63,"M",2011,1055
"301","Non-UK born","Black-African",64,"F",2011,1209
"302","Non-UK born","Black-African",64,"M",2011,897
"303","Non-UK born","Black-African",65,"F",2011,1263
"304","Non-UK born","Black-African",65,"M",2011,837
"305","Non-UK born","Black-African",66,"F",2011,1164
"306","Non-UK born","Black-African",66,"M",2011,806
"307","Non-UK born","Black-African",67,"F",2011,1021
"308","Non-UK born","Black-African",67,"M",2011,666
"309","Non-UK born","Black-African",68,"F",2011,1116
"310","Non-UK born","Black-African",68,"M",2011,771
"311","Non-UK born","Black-African",69,"F",2011,822
"312","Non-UK born","Black-African",69,"M",2011,571
"313","Non-UK born","Black-African",70,"F",2011,976
"314","Non-UK born","Black-African",70,"M",2011,737
"315","Non-UK born","Black-African",71,"F",2011,1034
"316","Non-UK born","Black-African",71,"M",2011,791
"317","Non-UK born","Black-African",72,"F",2011,845
"318","Non-UK born","Black-African",72,"M",2011,733
"319","Non-UK born","Black-African",73,"F",2011,644
"320","Non-UK born","Black-African",73,"M",2011,616
"321","Non-UK born","Black-African",74,"F",2011,617
"322","Non-UK born","Black-African",74,"M",2011,607
"323","Non-UK born","Black-African",75,"F",2011,530
"324","Non-UK born","Black-African",75,"M",2011,561
"325","Non-UK born","Black-African",76,"F",2011,450
"326","Non-UK born","Black-African",76,"M",2011,486
"327","Non-UK born","Black-African",77,"F",2011,394
"328","Non-UK born","Black-African",77,"M",2011,335
"329","Non-UK born","Black-African",78,"F",2011,333
"330","Non-UK born","Black-African",78,"M",2011,324
"331","Non-UK born","Black-African",79,"F",2011,287
"332","Non-UK born","Black-African",79,"M",2011,239
"333","Non-UK born","Black-African",80,"F",2011,257
"334","Non-UK born","Black-African",80,"M",2011,208
"335","Non-UK born","Black-African",81,"F",2011,252
"336","Non-UK born","Black-African",81,"M",2011,171
"337","Non-UK born","Black-African",82,"F",2011,168
"338","Non-UK born","Black-African",82,"M",2011,157
"339","Non-UK born","Black-African",83,"F",2011,128
"340","Non-UK born","Black-African",83,"M",2011,98
"341","Non-UK born","Black-African",84,"F",2011,109
"342","Non-UK born","Black-African",84,"M",2011,101
"343","Non-UK born","Black-African",85,"F",2011,439
"344","Non-UK born","Black-African",85,"M",2011,378
"345","Non-UK born","Black-Caribbean",0,"F",2011,16
"346","Non-UK born","Black-Caribbean",0,"M",2011,41
"347","Non-UK born","Black-Caribbean",1,"F",2011,50
"348","Non-UK born","Black-Caribbean",1,"M",2011,42
"349","Non-UK born","Black-Caribbean",2,"F",2011,51
"350","Non-UK born","Black-Caribbean",2,"M",2011,64
"351","Non-UK born","Black-Caribbean",3,"F",2011,56
"352","Non-UK born","Black-Caribbean",3,"M",2011,52
"353","Non-UK born","Black-Caribbean",4,"F",2011,73
"354","Non-UK born","Black-Caribbean",4,"M",2011,74
"355","Non-UK born","Black-Caribbean",5,"F",2011,84
"356","Non-UK born","Black-Caribbean",5,"M",2011,83
"357","Non-UK born","Black-Caribbean",6,"F",2011,92
"358","Non-UK born","Black-Caribbean",6,"M",2011,73
"359","Non-UK born","Black-Caribbean",7,"F",2011,109
"360","Non-UK born","Black-Caribbean",7,"M",2011,104
"361","Non-UK born","Black-Caribbean",8,"F",2011,125
"362","Non-UK born","Black-Caribbean",8,"M",2011,146
"363","Non-UK born","Black-Caribbean",9,"F",2011,226
"364","Non-UK born","Black-Caribbean",9,"M",2011,183
"365","Non-UK born","Black-Caribbean",10,"F",2011,322
"366","Non-UK born","Black-Caribbean",10,"M",2011,307
"367","Non-UK born","Black-Caribbean",11,"F",2011,403
"368","Non-UK born","Black-Caribbean",11,"M",2011,462
"369","Non-UK born","Black-Caribbean",12,"F",2011,430
"370","Non-UK born","Black-Caribbean",12,"M",2011,395
"371","Non-UK born","Black-Caribbean",13,"F",2011,524
"372","Non-UK born","Black-Caribbean",13,"M",2011,501
"373","Non-UK born","Black-Caribbean",14,"F",2011,607
"374","Non-UK born","Black-Caribbean",14,"M",2011,512
"375","Non-UK born","Black-Caribbean",15,"F",2011,656
"376","Non-UK born","Black-Caribbean",15,"M",2011,651
"377","Non-UK born","Black-Caribbean",16,"F",2011,656
"378","Non-UK born","Black-Caribbean",16,"M",2011,635
"379","Non-UK born","Black-Caribbean",17,"F",2011,723
"380","Non-UK born","Black-Caribbean",17,"M",2011,626
"381","Non-UK born","Black-Caribbean",18,"F",2011,731
"382","Non-UK born","Black-Caribbean",18,"M",2011,650
"383","Non-UK born","Black-Caribbean",19,"F",2011,765
"384","Non-UK born","Black-Caribbean",19,"M",2011,714
"385","Non-UK born","Black-Caribbean",20,"F",2011,763
"386","Non-UK born","Black-Caribbean",20,"M",2011,681
"387","Non-UK born","Black-Caribbean",21,"F",2011,831
"388","Non-UK born","Black-Caribbean",21,"M",2011,736
"389","Non-UK born","Black-Caribbean",22,"F",2011,878
"390","Non-UK born","Black-Caribbean",22,"M",2011,682
"391","Non-UK born","Black-Caribbean",23,"F",2011,831
"392","Non-UK born","Black-Caribbean",23,"M",2011,716
"393","Non-UK born","Black-Caribbean",24,"F",2011,953
"394","Non-UK born","Black-Caribbean",24,"M",2011,651
"395","Non-UK born","Black-Caribbean",25,"F",2011,1087
"396","Non-UK born","Black-Caribbean",25,"M",2011,801
"397","Non-UK born","Black-Caribbean",26,"F",2011,1171
"398","Non-UK born","Black-Caribbean",26,"M",2011,774
"399","Non-UK born","Black-Caribbean",27,"F",2011,1230
"400","Non-UK born","Black-Caribbean",27,"M",2011,910
"401","Non-UK born","Black-Caribbean",28,"F",2011,1280
"402","Non-UK born","Black-Caribbean",28,"M",2011,1036
"403","Non-UK born","Black-Caribbean",29,"F",2011,1438
"404","Non-UK born","Black-Caribbean",29,"M",2011,1058
"405","Non-UK born","Black-Caribbean",30,"F",2011,1395
"406","Non-UK born","Black-Caribbean",30,"M",2011,1143
"407","Non-UK born","Black-Caribbean",31,"F",2011,1517
"408","Non-UK born","Black-Caribbean",31,"M",2011,1086
"409","Non-UK born","Black-Caribbean",32,"F",2011,1396
"410","Non-UK born","Black-Caribbean",32,"M",2011,1195
"411","Non-UK born","Black-Caribbean",33,"F",2011,1446
"412","Non-UK born","Black-Caribbean",33,"M",2011,1145
"413","Non-UK born","Black-Caribbean",34,"F",2011,1466
"414","Non-UK born","Black-Caribbean",34,"M",2011,1186
"415","Non-UK born","Black-Caribbean",35,"F",2011,1538
"416","Non-UK born","Black-Caribbean",35,"M",2011,1156
"417","Non-UK born","Black-Caribbean",36,"F",2011,1493
"418","Non-UK born","Black-Caribbean",36,"M",2011,1138
"419","Non-UK born","Black-Caribbean",37,"F",2011,1441
"420","Non-UK born","Black-Caribbean",37,"M",2011,1188
"421","Non-UK born","Black-Caribbean",38,"F",2011,1489
"422","Non-UK born","Black-Caribbean",38,"M",2011,1200
"423","Non-UK born","Black-Caribbean",39,"F",2011,1539
"424","Non-UK born","Black-Caribbean",39,"M",2011,1257
"425","Non-UK born","Black-Caribbean",40,"F",2011,1382
"426","Non-UK born","Black-Caribbean",40,"M",2011,1140
"427","Non-UK born","Black-Caribbean",41,"F",2011,1213
"428","Non-UK born","Black-Caribbean",41,"M",2011,1048
"429","Non-UK born","Black-Caribbean",42,"F",2011,1242
"430","Non-UK born","Black-Caribbean",42,"M",2011,1036
"431","Non-UK born","Black-Caribbean",43,"F",2011,1357
"432","Non-UK born","Black-Caribbean",43,"M",2011,1048
"433","Non-UK born","Black-Caribbean",44,"F",2011,1318
"434","Non-UK born","Black-Caribbean",44,"M",2011,1029
"435","Non-UK born","Black-Caribbean",45,"F",2011,1341
"436","Non-UK born","Black-Caribbean",45,"M",2011,1060
"437","Non-UK born","Black-Caribbean",46,"F",2011,1274
"438","Non-UK born","Black-Caribbean",46,"M",2011,1006
"439","Non-UK born","Black-Caribbean",47,"F",2011,1347
"440","Non-UK born","Black-Caribbean",47,"M",2011,1009
"441","Non-UK born","Black-Caribbean",48,"F",2011,1503
"442","Non-UK born","Black-Caribbean",48,"M",2011,1161
"443","Non-UK born","Black-Caribbean",49,"F",2011,2046
"444","Non-UK born","Black-Caribbean",49,"M",2011,1654
"445","Non-UK born","Black-Caribbean",50,"F",2011,3088
"446","Non-UK born","Black-Caribbean",50,"M",2011,2311
"447","Non-UK born","Black-Caribbean",51,"F",2011,3368
"448","Non-UK born","Black-Caribbean",51,"M",2011,2550
"449","Non-UK born","Black-Caribbean",52,"F",2011,3265
"450","Non-UK born","Black-Caribbean",52,"M",2011,2517
"451","Non-UK born","Black-Caribbean",53,"F",2011,3304
"452","Non-UK born","Black-Caribbean",53,"M",2011,2659
"453","Non-UK born","Black-Caribbean",54,"F",2011,3474
"454","Non-UK born","Black-Caribbean",54,"M",2011,2754
"455","Non-UK born","Black-Caribbean",55,"F",2011,3588
"456","Non-UK born","Black-Caribbean",55,"M",2011,2775
"457","Non-UK born","Black-Caribbean",56,"F",2011,3371
"458","Non-UK born","Black-Caribbean",56,"M",2011,2523
"459","Non-UK born","Black-Caribbean",57,"F",2011,3024
"460","Non-UK born","Black-Caribbean",57,"M",2011,2365
"461","Non-UK born","Black-Caribbean",58,"F",2011,2861
"462","Non-UK born","Black-Caribbean",58,"M",2011,2148
"463","Non-UK born","Black-Caribbean",59,"F",2011,2586
"464","Non-UK born","Black-Caribbean",59,"M",2011,1913
"465","Non-UK born","Black-Caribbean",60,"F",2011,2338
"466","Non-UK born","Black-Caribbean",60,"M",2011,1635
"467","Non-UK born","Black-Caribbean",61,"F",2011,2196
"468","Non-UK born","Black-Caribbean",61,"M",2011,1461
"469","Non-UK born","Black-Caribbean",62,"F",2011,2010
"470","Non-UK born","Black-Caribbean",62,"M",2011,1254
"471","Non-UK born","Black-Caribbean",63,"F",2011,1817
"472","Non-UK born","Black-Caribbean",63,"M",2011,1180
"473","Non-UK born","Black-Caribbean",64,"F",2011,1837
"474","Non-UK born","Black-Caribbean",64,"M",2011,1191
"475","Non-UK born","Black-Caribbean",65,"F",2011,1858
"476","Non-UK born","Black-Caribbean",65,"M",2011,1115
"477","Non-UK born","Black-Caribbean",66,"F",2011,2088
"478","Non-UK born","Black-Caribbean",66,"M",2011,1257
"479","Non-UK born","Black-Caribbean",67,"F",2011,2308
"480","Non-UK born","Black-Caribbean",67,"M",2011,1626
"481","Non-UK born","Black-Caribbean",68,"F",2011,2440
"482","Non-UK born","Black-Caribbean",68,"M",2011,1873
"483","Non-UK born","Black-Caribbean",69,"F",2011,2499
"484","Non-UK born","Black-Caribbean",69,"M",2011,2044
"485","Non-UK born","Black-Caribbean",70,"F",2011,2547
"486","Non-UK born","Black-Caribbean",70,"M",2011,2160
"487","Non-UK born","Black-Caribbean",71,"F",2011,2513
"488","Non-UK born","Black-Caribbean",71,"M",2011,2352
"489","Non-UK born","Black-Caribbean",72,"F",2011,2648
"490","Non-UK born","Black-Caribbean",72,"M",2011,2348
"491","Non-UK born","Black-Caribbean",73,"F",2011,2511
"492","Non-UK born","Black-Caribbean",73,"M",2011,2333
"493","Non-UK born","Black-Caribbean",74,"F",2011,2403
"494","Non-UK born","Black-Caribbean",74,"M",2011,2140
"495","Non-UK born","Black-Caribbean",75,"F",2011,2353
"496","Non-UK born","Black-Caribbean",75,"M",2011,2130
"497","Non-UK born","Black-Caribbean",76,"F",2011,2272
"498","Non-UK born","Black-Caribbean",76,"M",2011,1942
"499","Non-UK born","Black-Caribbean",77,"F",2011,1870
"500","Non-UK born","Black-Caribbean",77,"M",2011,1840
